,compute_version,registers,smem,cmem,num_of_cores,L2,bandwith,theoretical_flops,AppId,number_of_lines_kernel,occupancy,input_size,duration,block_x,Actual,Predicted
3078,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,4352,0.001669031,16,-2.2860325355755404,-2.286059214336397
3079,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,4608,0.001935789,16,-2.283412183536375,-2.2834131421023547
3080,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,4864,0.002176882,16,-2.2810498303229134,-2.281049713999836
3081,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,5120,0.002421368,16,-2.278659916270677,-2.2786786731601096
3082,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,5376,0.002662686,16,-2.2763065581556265,-2.276334051199191
3083,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,5632,0.002943876,16,-2.2735713324646363,-2.273568202517417
3020,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,5888,0.003486817,8,-2.268311046369889,-2.2684265600536637
3106,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,3328,0.000642089,16,-2.2961847290912205,-2.2961923751279794
3019,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,5632,0.00319907,8,-2.2710954376031864,-2.271141964164012
3017,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,5120,0.002659162,8,-2.276340884751015,-2.2764211462491084
2954,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,5376,0.002438498,8,-2.278492679999616,-2.27845398980471
2955,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,5632,0.00267143,8,-2.276221389649042,-2.27615669548059
2956,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,5888,0.002940041,8,-2.2736085864673417,-2.2736225893588844
2957,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,6144,0.003140908,8,-2.2716591868301093,-2.27167695240778
2958,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,6400,0.003460143,8,-2.2685688322310367,-2.2686034413076395
2959,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,6656,0.003753844,8,-2.2657340699552764,-2.265734529129932
2960,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,6912,0.004061303,8,-2.262775101576233,-2.2627657378489103
2961,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,7168,0.004324122,8,-2.260252668547604,-2.2602527841112985
2953,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,5120,0.002198271,8,-2.28084051916386,-2.2809115915973632
2962,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,7424,0.004690112,8,-2.2567506068262477,-2.2566916230075136
2964,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,7936,0.005295432,8,-2.250985241599896,-2.2510583136795783
2965,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,8192,0.005664269,8,-2.247488484882142,-2.2475196990313226
2966,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,256,7.328e-06,8,-2.3025118156788937,-2.3025111527446454
2967,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,512,2.944e-05,8,-2.302290736321222,-2.3022913621554295
2968,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,768,6.2464e-05,8,-2.3019606480004087,-2.301960830921289
2969,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,1024,0.000106721,8,-2.3015184520578,-2.3015181440199783
2970,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,1280,0.00016765,8,-2.300909996751457,-2.3009199595937866
2971,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,1536,0.00024925,8,-2.3000956941202015,-2.30008427160912
2963,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,7680,0.00500778,8,-2.2537208363314347,-2.2537324926402227
2972,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,1792,0.000324739,8,-2.2993429643775194,-2.299344205953933
2952,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,4864,0.001999708,8,-2.2827853284470616,-2.2828152524945406
2950,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,4352,0.001615895,8,-2.286555309223894,-2.286580272657567
2932,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,50,7936,0.007431146,8,-2.230905138949245,-2.2308642529268994
2933,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,50,8192,0.007600046,8,-2.2293342037452506,-2.2292718800493816
2934,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,256,6.848e-06,8,-2.3025166153386936,-2.3025187400036584
2935,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,512,2.4321e-05,8,-2.302341912564803,-2.302340764447657
2936,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,768,5.3025e-05,8,-2.302054983526901,-2.302051589742827
2937,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,1024,9.053e-05,8,-2.30168020253094,-2.30166972618771
2938,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,1280,0.000141283,8,-2.3011732600993002,-2.3011780099192785
2939,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,1536,0.0002041,8,-2.3005461730048253,-2.300520131753136
2951,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,4608,0.001777498,8,-2.2849662405563014,-2.2849784521992493
2940,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,1792,0.000272101,8,-2.2998677782400727,-2.2998759094667336
2942,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,2304,0.000450215,8,-2.2980930473551417,-2.298132387646956
2943,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,2560,0.00055457,8,-2.2970547137714337,-2.2970305946612144
2944,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,2816,0.000668107,8,-2.2959262424307147,-2.295888960681482
2945,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,3072,0.000789677,8,-2.2947193393034895,-2.2947628813025114
2946,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,3328,0.000937839,8,-2.293250407056869,-2.293255674353243
2947,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,3584,0.001087185,8,-2.2917719166773303,-2.291770063637449
2948,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,3840,0.001253714,8,-2.290125892186756,-2.2901240944590837
2949,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,4096,0.001425589,8,-2.288429862659754,-2.288413371390388
2941,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,50,2048,0.00035943,8,-2.2989972370536513,-2.298989239613426
2973,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,2048,0.00043498,8,-2.2982447260294134,-2.2982441915219076
2974,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,2304,0.000542661,8,-2.2971731539901747,-2.2971675780766803
2975,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,2560,0.000660966,8,-2.29599718101794,-2.2960216898303294
2999,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,512,2.9056e-05,8,-2.3022945751984274,-2.3022949972084863
3000,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,768,6.2337e-05,8,-2.3019619172084167,-2.301960830921289
3001,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,1024,0.000107202,8,-2.301513647197151,-2.3015172788456026
3002,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,1280,0.000168034,8,-2.30090616318579,-2.300897113611926
3003,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,1536,0.000249059,8,-2.3000975993731783,-2.300086318427036
