,compute_version,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,duration,grid_x,grid_y,block_x,block_y,registers,smem,cmem,number_of_lines_kernel,occupancy
1224,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,0.086445,24.0,24.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1223,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,0.026089,16.0,16.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1222,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,0.003651678,8.0,8.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1221,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,7.281564,256.0,256.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1245,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,43.064132,192.0,192.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1194,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,14.39448,336.0,336.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1298,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,6.70932,104.0,104.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1300,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,10.307393,120.0,120.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5479,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.235463,48.0,48.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
5480,5.2,8.0,1216.0,2048.0,2.0,256.0,3505.0,224.32,4.0,16.0,128.0,4980736.0,1.0,0.378957,56.0,56.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
