,compute_version,registers,smem,cmem,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,number_of_lines_kernel,occupancy,input_size,duration,grid_x,grid_y,block_x,block_y
4097,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,6144,46.349387,192,192,32,32
4098,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,6400,51.895322,200,200,32,32
4099,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,6656,58.454775,208,208,32,32
4100,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,6912,65.423217,216,216,32,32
4101,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,7168,72.990159,224,224,32,32
4102,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,7424,80.963569,232,232,32,32
4103,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,7680,90.574895,240,240,32,32
4104,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,7936,98.900377,248,248,32,32
4105,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,8192,108.925636,256,256,32,32
4106,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,256,0.00029306,32,32,8,8
4107,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,512,0.002055224,64,64,8,8
4108,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,768,0.006865521,96,96,8,8
4109,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,1024,0.01538,128,128,8,8
4090,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,4352,16.321835,136,136,32,32
4089,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,4096,13.620584,128,128,32,32
4088,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,3840,11.226334,120,120,32,32
4087,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,3584,9.133598,112,112,32,32
4067,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,6656,53.64868,208,208,32,32
4068,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,6912,60.081808,216,216,32,32
4069,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,7168,67.002544,224,224,32,32
4070,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,7424,74.44235,232,232,32,32
4071,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,7680,82.428789,240,240,32,32
4072,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,7936,90.935993,248,248,32,32
4073,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,8192,100.012443,256,256,32,32
4074,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,256,0.004250236,8,8,32,32
4075,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,512,0.032165,16,16,32,32
4065,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,6144,42.196769,192,192,32,32
4076,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,768,0.105484,24,24,32,32
