compute_version,registers,smem,cmem,num_of_cores,L2,bandwith,theoretical_flops,occupancy,input_size,duration,block_x
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,256,0.000152641,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,512,0.001193712,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,768,0.003989662,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,1024,0.009404344,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,1280,0.018386,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,1536,0.031754,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,1792,0.050327,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,2048,0.075129,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,2304,0.113854,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,2560,0.147237,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,2816,0.195781,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,3072,0.254341,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,3328,0.324093,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,3584,0.403502,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,3840,0.498468,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,4096,0.603458,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,4352,0.727781,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,4608,0.865488,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,4864,1.01677,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,5120,1.188166,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,5376,1.379904,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,5632,1.587156,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,5888,1.82139,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,6144,2.07214,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,6400,2.33912,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,6656,2.638746,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,6912,2.958122,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,7168,3.333383,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,7424,3.659182,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,7680,4.107917,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,7936,4.493037,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,8192,4.97945,16
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,256,0.000128641,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,512,0.001007147,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,768,0.003351332,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,1024,0.00790782,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,1280,0.015484,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,1536,0.026659,32
